time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
113400.000000,0.2003289058,0.2001695190,0.1997185779,0.1989647962,0.1979047780,0.1965201785,0.1948109684,0.1927715389,0.1903613428,0.1875821260,0.1843938938,0.1807544981,0.1766199822,0.1719121758,0.1665316768,0.1603268176,0.1530543533,0.1442730534,0.1330898190,0.1169201634,0.0588771959
113460.000000,0.2002678555,0.2001085512,0.1996578433,0.1989044507,0.1978449780,0.1964610879,0.1947527487,0.1927143519,0.1903053662,0.1875275325,0.1843408697,0.1807032426,0.1765707067,0.1718651162,0.1664870990,0.1602850345,0.1530157526,0.1442381589,0.1330594245,0.1168958226,0.0588669425
113520.000000,0.2002068052,0.2000475834,0.1995971087,0.1988441052,0.1977851779,0.1964019972,0.1946945291,0.1926571649,0.1902493896,0.1874729390,0.1842878455,0.1806519871,0.1765214312,0.1718180565,0.1664425213,0.1602432515,0.1529771520,0.1442032643,0.1330290301,0.1168714817,0.0588566891
113580.000000,0.2001459014,0.1999867619,0.1995365198,0.1987839043,0.1977255209,0.1963430477,0.1946364482,0.1926001138,0.1901935457,0.1874184744,0.1842349461,0.1806008515,0.1764722704,0.1717711058,0.1663980460,0.1602015635,0.1529386383,0.1441684475,0.1329987022,0.1168471929,0.0588464737
113640.000000,0.2000849976,0.1999259404,0.1994759309,0.1987237033,0.1976658640,0.1962840982,0.1945783673,0.1925430628,0.1901377017,0.1873640098,0.1841820466,0.1805497160,0.1764231096,0.1717241550,0.1663535707,0.1601598756,0.1529001247,0.1441336306,0.1329683743,0.1168229041,0.0588362583
113700.000000,0.2000242397,0.1998652646,0.1994154870,0.1986636465,0.1976063496,0.1962252893,0.1945204247,0.1924861472,0.1900819900,0.1873096736,0.1841292715,0.1804987000,0.1763740630,0.1716773127,0.1663091973,0.1601182825,0.1528616978,0.1440988911,0.1329381128,0.1167986673,0.0588260808
113760.000000,0.1999634819,0.1998045888,0.1993550432,0.1986035896,0.1975468352,0.1961664804,0.1944624820,0.1924292316,0.1900262783,0.1872553375,0.1840764963,0.1804476840,0.1763250165,0.1716304704,0.1662648240,0.1600766894,0.1528232708,0.1440641517,0.1329078512,0.1167744304,0.0588159033
113820.000000,0.1999028695,0.1997440582,0.1992947439,0.1985436762,0.1974874627,0.1961078116,0.1944046771,0.1923724510,0.1899706982,0.1872011293,0.1840238449,0.1803967871,0.1762760839,0.1715837362,0.1662205524,0.1600351907,0.1527849303,0.1440294893,0.1328776558,0.1167502453,0.0588057635
113880.000000,0.1998422570,0.1996835276,0.1992344447,0.1984837628,0.1974280903,0.1960491427,0.1943468722,0.1923156703,0.1899151181,0.1871469211,0.1839711935,0.1803458902,0.1762271513,0.1715370020,0.1661762807,0.1599936921,0.1527465897,0.1439948270,0.1328474603,0.1167260601,0.0587956237
113940.000000,0.1997817895,0.1996231417,0.1991742894,0.1984239923,0.1973688594,0.1959906135,0.1942892045,0.1922590241,0.1898596692,0.1870928404,0.1839186654,0.1802951120,0.1761783321,0.1714903755,0.1661321103,0.1599522875,0.1527083353,0.1439602415,0.1328173307,0.1167019265,0.0587855214
114000.000000,0.1997213219,0.1995627557,0.1991141341,0.1983642219,0.1973096284,0.1959320842,0.1942315368,0.1922023778,0.1898042204,0.1870387598,0.1838661373,0.1802443337,0.1761295130,0.1714437489,0.1660879399,0.1599108830,0.1526700808,0.1439256560,0.1327872012,0.1166777930,0.0587754190
114060.000000,0.1996609986,0.1995025138,0.1990541223,0.1983045938,0.1972505384,0.1958736940,0.1941740057,0.1921458655,0.1897489022,0.1869848061,0.1838137321,0.1801936737,0.1760808068,0.1713972297,0.1660438704,0.1598695722,0.1526319121,0.1438911471,0.1327571372,0.1166537107,0.0587653540
114120.000000,0.1996006753,0.1994422720,0.1989941105,0.1982449658,0.1971914484,0.1958153037,0.1941164747,0.1920893532,0.1896935840,0.1869308524,0.1837613269,0.1801430137,0.1760321007,0.1713507105,0.1659998009,0.1598282614,0.1525937434,0.1438566381,0.1327270732,0.1166296285,0.0587552890
114180.000000,0.1995404958,0.1993821736,0.1989342416,0.1981854796,0.1971324988,0.1957570520,0.1940590798,0.1920329743,0.1896383960,0.1868770253,0.1837090441,0.1800924714,0.1759835071,0.1713042981,0.1659558319,0.1597870441,0.1525556601,0.1438222055,0.1326970746,0.1166055975,0.0587452611
