time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
6780,2.222199,2.219570,2.211947,2.199275,2.181680,2.159091,2.131401,2.098660,2.060993,2.018413,1.970903,1.918692,1.861951,1.800557,1.734885,1.665035,1.591198,1.513476,1.432062,1.347038,1.258438
6840,2.214821,2.212194,2.204580,2.191922,2.174351,2.151797,2.124159,2.091489,2.053916,2.011457,1.964096,1.912067,1.855538,1.794389,1.728991,1.659442,1.585928,1.508544,1.427480,1.342806,1.254526
6900,2.207438,2.204815,2.197210,2.184569,2.167026,2.144512,2.116929,2.084334,2.046860,2.004524,1.957317,1.905470,1.849154,1.788250,1.723124,1.653873,1.580676,1.503625,1.422902,1.338578,1.250697
6960,2.200054,2.197434,2.189840,2.177219,2.159706,2.137234,2.109711,2.077195,2.039822,1.997614,1.950562,1.898900,1.842797,1.782135,1.717279,1.648322,1.575439,1.498717,1.418337,1.334377,1.246877
7020,2.192669,2.190053,2.182471,2.169872,2.152391,2.129966,2.102506,2.070073,2.032804,1.990726,1.943831,1.892354,1.836465,1.776046,1.711459,1.642793,1.570221,1.493829,1.413793,1.330188,1.243036
7080,2.185286,2.182674,2.175106,2.162530,2.145084,2.122708,2.095314,2.062967,2.025806,1.983860,1.937125,1.885835,1.830160,1.769984,1.705664,1.637289,1.565029,1.488966,1.409271,1.326007,1.239162
7140,2.177904,2.175298,2.167744,2.155194,2.137786,2.115462,2.088137,2.055878,2.018829,1.977018,1.930444,1.879343,1.823884,1.763950,1.699898,1.631813,1.559862,1.484123,1.404760,1.321826,1.235314
7200,2.170528,2.167926,2.160388,2.147865,2.130497,2.108227,2.080975,2.048808,2.011873,1.970200,1.923790,1.872879,1.817635,1.757944,1.694158,1.626360,1.554715,1.479295,1.400259,1.317651,1.231446
7260,2.163157,2.160561,2.153040,2.140545,2.123219,2.101007,2.073829,2.041757,2.004938,1.963405,1.917161,1.866441,1.811413,1.751964,1.688443,1.620931,1.549589,1.474483,1.395768,1.313480,1.227593
7320,2.155793,2.153203,2.145700,2.133236,2.115954,2.093801,2.066701,2.034727,1.998026,1.956636,1.910559,1.860031,1.805220,1.746013,1.682755,1.615528,1.544487,1.469695,1.391297,1.309315,1.223674
