time_s,time_h,z_m,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
197340,54.81666667,0.035,0.152961,0.152862,0.152576,0.152099,0.151430,0.150563,0.149485,0.148186,0.146657,0.144881,0.142829,0.140480,0.137802,0.134719,0.131173,0.127046,0.122158,0.116168,0.108409,0.096930,0.052897
197340,54.81666667,0.040,0.152946,0.152847,0.152562,0.152084,0.151416,0.150549,0.149471,0.148172,0.146644,0.144868,0.142816,0.140468,0.137790,0.134708,0.131163,0.127036,0.122149,0.116160,0.108402,0.096924,0.052896
197340,54.81666667,0.045,0.152924,0.152826,0.152540,0.152063,0.151395,0.150528,0.149450,0.148152,0.146624,0.144849,0.142798,0.140450,0.137773,0.134691,0.131147,0.127021,0.122135,0.116147,0.108391,0.096915,0.052894
197340,54.81666667,0.050,0.152893,0.152795,0.152510,0.152032,0.151365,0.150498,0.149421,0.148123,0.146596,0.144821,0.142771,0.140424,0.137748,0.134668,0.131125,0.127000,0.122116,0.116130,0.108376,0.096903,0.052892
197340,54.81666667,0.055,0.152849,0.152751,0.152465,0.151988,0.151321,0.150455,0.149378,0.148081,0.146555,0.144781,0.142733,0.140387,0.137712,0.134634,0.131092,0.126970,0.122088,0.116104,0.108353,0.096885,0.052888
197340,54.81666667,0.060,0.152785,0.152687,0.152402,0.151926,0.151259,0.150394,0.149318,0.148022,0.146497,0.144725,0.142678,0.140334,0.137662,0.134585,0.131046,0.126927,0.122048,0.116068,0.108322,0.096859,0.052883
197340,54.81666667,0.065,0.152695,0.152597,0.152312,0.151836,0.151171,0.150307,0.149232,0.147938,0.146415,0.144645,0.142600,0.140259,0.137589,0.134516,0.130981,0.126865,0.121991,0.116016,0.108276,0.096822,0.052876
197340,54.81666667,0.070,0.152566,0.152469,0.152185,0.151710,0.151045,0.150183,0.149110,0.147818,0.146298,0.144531,0.142489,0.140152,0.137487,0.134418,0.130888,0.126778,0.121910,0.115943,0.108212,0.096770,0.052867
197340,54.81666667,0.075,0.152374,0.152277,0.151993,0.151520,0.150857,0.149997,0.148927,0.147639,0.146123,0.144360,0.142324,0.139993,0.137333,0.134272,0.130750,0.126648,0.121790,0.115834,0.108117,0.096692,0.052852
197340,54.81666667,0.080,0.152094,0.151997,0.151715,0.151244,0.150584,0.149727,0.148662,0.147379,0.145868,0.144113,0.142084,0.139761,0.137111,0.134060,0.130550,0.126461,0.121617,0.115677,0.107979,0.096580,0.052831
197340,54.81666667,0.085,0.151691,0.151595,0.151314,0.150846,0.150190,0.149338,0.148280,0.147004,0.145502,0.143756,0.141739,0.139428,0.136792,0.133756,0.130262,0.126191,0.121367,0.115451,0.107781,0.096419,0.052801
197340,54.81666667,0.090,0.151068,0.150972,0.150694,0.150230,0.149581,0.148738,0.147689,0.146425,0.144937,0.143206,0.141206,0.138915,0.136300,0.133287,0.129819,0.125776,0.120984,0.115104,0.107477,0.096173,0.052755
197340,54.81666667,0.095,0.150139,0.150045,0.149771,0.149314,0.148674,0.147843,0.146809,0.145563,0.144095,0.142388,0.140414,0.138152,0.135568,0.132590,0.129161,0.125161,0.120416,0.114590,0.107027,0.095808,0.052689
197340,54.81666667,0.100,0.148651,0.148559,0.148292,0.147846,0.147221,0.146410,0.145400,0.144183,0.142748,0.141078,0.139146,0.136930,0.134398,0.131477,0.128109,0.124178,0.119509,0.113770,0.106309,0.095225,0.052586
197340,54.81666667,0.105,0.146292,0.146204,0.145948,0.145519,0.144919,0.144139,0.143167,0.141995,0.140612,0.139002,0.137136,0.134994,0.132544,0.129712,0.126443,0.122620,0.118073,0.112470,0.105172,0.094303,0.052428
197340,54.81666667,0.110,0.142412,0.142330,0.142090,0.141690,0.141128,0.140398,0.139488,0.138388,0.137090,0.135576,0.133818,0.131797,0.129479,0.126795,0.123687,0.120044,0.115695,0.110320,0.103291,0.092776,0.052183
197340,54.81666667,0.115,0.135690,0.135617,0.135405,0.135049,0.134550,0.133901,0.133090,0.132110,0.130950,0.129594,0.128016,0.126196,0.124103,0.121668,0.118838,0.115503,0.111500,0.106521,0.099963,0.090072,0.051795
197340,54.81666667,0.120,0.122560,0.122502,0.122334,0.122052,0.121657,0.121141,0.120498,0.119717,0.118792,0.117708,0.116443,0.114978,0.113285,0.111306,0.108989,0.106238,0.102903,0.098704,0.093091,0.084466,0.051156
197340,54.81666667,0.125,0.052678,0.052672,0.052653,0.052623,0.052581,0.052526,0.052459,0.052380,0.052288,0.052183,0.052065,0.051935,0.051790,0.051632,0.051459,0.051270,0.051064,0.050839,0.050592,0.050316,0.049998
197400,54.83333333,0.000,0.152968,0.152870,0.152584,0.152106,0.151438,0.150571,0.149492,0.148193,0.146664,0.144887,0.142835,0.140486,0.137807,0.134724,0.131178,0.127050,0.122162,0.116171,0.108412,0.096932,0.052897
197400,54.83333333,0.005,0.152968,0.152870,0.152584,0.152106,0.151438,0.150570,0.149492,0.148192,0.146664,0.144887,0.142835,0.140486,0.137807,0.134724,0.131178,0.127050,0.122161,0.116171,0.108412,0.096932,0.052897
197400,54.83333333,0.010,0.152967,0.152869,0.152583,0.152105,0.151437,0.150569,0.149491,0.148192,0.146663,0.144886,0.142834,0.140485,0.137806,0.134723,0.131177,0.127049,0.122161,0.116171,0.108412,0.096932,0.052897
197400,54.83333333,0.015,0.152965,0.152867,0.152581,0.152104,0.151435,0.150568,0.149489,0.148190,0.146661,0.144885,0.142833,0.140484,0.137805,0.134722,0.131176,0.127048,0.122160,0.116170,0.108411,0.096931,0.052897
197400,54.83333333,0.020,0.152963,0.152864,0.152578,0.152101,0.151432,0.150565,0.149486,0.148187,0.146659,0.144882,0.142830,0.140481,0.137803,0.134720,0.131174,0.127046,0.122158,0.116168,0.108410,0.096930,0.052897
197400,54.83333333,0.025,0.152958,0.152860,0.152574,0.152096,0.151428,0.150561,0.149482,0.148183,0.146655,0.144878,0.142826,0.140478,0.137799,0.134716,0.131171,0.127043,0.122155,0.116166,0.108407,0.096928,0.052897
197400,54.83333333,0.030,0.152951,0.152853,0.152567,0.152090,0.151421,0.150554,0.149476,0.148177,0.146649,0.144872,0.142821,0.140472,0.137794,0.134711,0.131166,0.127039,0.122151,0.116162,0.108404,0.096926,0.052896
197400,54.83333333,0.035,0.152941,0.152843,0.152557,0.152080,0.151412,0.150545,0.149466,0.148168,0.146640,0.144863,0.142812,0.140464,0.137786,0.134704,0.131159,0.127032,0.122145,0.116156,0.108399,0.096922,0.052895
197400,54.83333333,0.040,0.152927,0.152828,0.152543,0.152065,0.151397,0.150530,0.149452,0.148154,0.146626,0.144850,0.142799,0.140452,0.137774,0.134692,0.131148,0.127022,0.122136,0.116148,0.108392,0.096916,0.052894
197400,54.83333333,0.045,0.152905,0.152807,0.152521,0.152044,0.151376,0.150510,0.149432,0.148134,0.146606,0.144831,0.142781,0.140434,0.137757,0.134676,0.131133,0.127007,0.122122,0.116136,0.108381,0.096907,0.052893
197400,54.83333333,0.050,0.152874,0.152776,0.152490,0.152013,0.151346,0.150480,0.149402,0.148105,0.146578,0.144804,0.142754,0.140408,0.137732,0.134652,0.131110,0.126986,0.122103,0.116118,0.108365,0.096894,0.052890
197400,54.83333333,0.055,0.152830,0.152731,0.152446,0.151969,0.151302,0.150437,0.149360,0.148063,0.146538,0.144764,0.142716,0.140371,0.137697,0.134618,0.131078,0.126956,0.122075,0.116092,0.108343,0.096876,0.052887
197400,54.83333333,0.060,0.152766,0.152668,0.152383,0.151907,0.151240,0.150375,0.149300,0.148004,0.146480,0.144708,0.142661,0.140318,0.137646,0.134570,0.131032,0.126913,0.122035,0.116056,0.108311,0.096850,0.052882
