time_s,radius_cm,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm,surface_temperature_K
3840,1.781867,313.2013,313.2141,313.2523,313.3160,313.4050,313.5189,313.6576,313.8207,314.0077,314.2184,314.4522,314.7088,314.9877,315.2889,315.6123,315.9587,316.3295,316.7284,,,,317.0820
3900,1.778833,313.4404,313.4530,313.4908,313.5537,313.6416,313.7541,313.8912,314.0524,314.2373,314.4455,314.6765,314.9299,315.2052,315.5019,315.8200,316.1599,316.5228,316.9126,,,,317.2445
3960,1.775800,313.6766,313.6891,313.7264,313.7886,313.8754,313.9866,314.1220,314.2811,314.4637,314.6691,314.8968,315.1464,315.4171,315.7087,316.0210,316.3544,316.7106,317.0934,,,,317.4069
4020,1.772767,313.9099,313.9223,313.9591,314.0205,314.1062,314.2159,314.3495,314.5064,314.6863,314.8886,315.1127,315.3581,315.6241,315.9102,316.2161,316.5419,316.8883,317.2584,,,,317.5468
4080,1.769733,314.1402,314.1524,314.1887,314.2492,314.3337,314.4418,314.5733,314.7278,314.9047,315.1035,315.3234,315.5638,315.8239,316.1029,316.4001,316.7154,317.0493,317.4045,,,,317.6685
4140,1.766700,314.3671,314.3791,314.4148,314.4744,314.5574,314.6638,314.7929,314.9445,315.1180,315.3126,315.5275,315.7621,316.0155,316.2872,316.5772,316.8862,317.2167,317.5741,,,,317.8329
4200,1.763667,314.5901,314.6019,314.6370,314.6954,314.7769,314.8811,315.0077,315.1561,315.3258,315.5163,315.7267,315.9565,316.2053,316.4727,316.7585,317.0633,317.3881,317.7361,,,,317.9731
4260,1.760633,314.8089,314.8204,314.8548,314.9120,314.9918,315.0939,315.2179,315.3633,315.5297,315.7163,315.9226,316.1481,316.3920,316.6541,316.9344,317.2335,317.5536,317.8992,,,,318.1252
4320,1.757600,315.0232,315.0344,315.0682,315.1242,315.2024,315.3025,315.4240,315.5666,315.7296,315.9127,316.1152,316.3367,316.5769,316.8357,317.1139,317.4127,317.7354,318.0878,,,,318.3086
4380,1.754567,315.2332,315.2442,315.2773,315.3323,315.4090,315.5071,315.6264,315.7664,315.9267,316.1070,316.3068,316.5257,316.7636,317.0201,317.2951,317.5885,317.9002,318.2317,,,,318.4226
4440,1.751533,315.4392,315.4501,315.4825,315.5366,315.6120,315.7085,315.8258,315.9637,316.1216,316.2990,316.4955,316.7102,316.9425,317.1916,317.4568,317.7378,318.0353,318.3519,,,,318.5247
4500,1.748500,315.6418,315.6524,315.6844,315.7375,315.8117,315.9065,316.0218,316.1571,316.3118,316.4854,316.6770,316.8861,317.1117,317.3535,317.6111,317.8853,318.1779,318.4935,,,,318.6577
4560,1.745467,315.8408,315.8513,315.8827,315.9348,316.0074,316.1004,316.2132,316.3455,316.4966,316.6661,316.8532,317.0573,317.2781,317.5150,317.7683,318.0384,318.3271,318.6382,,,,318.7893
4620,1.742433,316.0359,316.0461,316.0768,316.1278,316.1989,316.2898,316.4001,316.5294,316.6772,316.8430,317.0262,317.2264,317.4431,317.6763,317.9266,318.1950,318.4844,318.8003,,,,318.9448
4680,1.739400,316.2267,316.2367,316.2667,316.3166,316.3861,316.4751,316.5831,316.7098,316.8548,317.0176,317.1978,317.3952,317.6094,317.8406,318.0889,318.3551,318.6404,318.9486,,,,319.0778
4740,1.736367,316.4134,316.4232,316.4526,316.5015,316.5697,316.6570,316.7631,316.8876,317.0302,317.1905,317.3681,317.5627,317.7740,318.0019,318.2467,318.5094,318.7923,319.1003,,,,319.2203
